customer_id,name,email,age,order_amount,signup_date,region,loyalty_tier
77,Customer_77,customer77@example.com,65.0,174.52,2024-06-01,East,Silver
78,Customer_78,customer78@example.com,53.0,46.79,2024-06-03,West,Silver
79,Customer_79,customer79@example.com,55.0,226.7,2024-06-05,North,Silver
80,Customer_80,customer80@example.com,58.0,230.41,2024-06-07,South,Silver
81,Customer_81,customer81@example.com,48.0,162.75,2024-06-09,North,Silver
82,Customer_82,customer82@example.com,53.0,129.77,2024-06-11,West,Gold
83,Customer_83,customer83@example.com,62.0,369.82,2024-06-13,West,Bronze
84,Customer_84,customer84@example.com,61.0,367.22,2024-06-15,North,Bronze
85,Customer_85,customer85@example.com,61.0,89.25,2024-06-17,East,Bronze
86,Customer_86,customer86@example.com,46.0,183.5,2024-06-19,West,Bronze
87,Customer_87,customer87@example.com,53.0,62.47,2024-06-21,North,Bronze
88,Customer_88,customer88@example.com,52.0,83.55,2024-06-23,East,Bronze
89,Customer_89,customer89@example.com,58.0,139.24,2024-06-25,West,Bronze
90,Customer_90,customer90@example.com,58.0,100.28,2024-06-27,North,Bronze
91,Customer_91,customer91@example.com,56.0,51.06,2024-06-29,East,Gold
92,Customer_92,customer92@example.com,75.0,53.51,2024-07-01,North,Bronze
93,Customer_93,customer93@example.com,53.0,53.54,2024-07-03,West,Gold
94,Customer_94,customer94@example.com,52.0,47.42,2024-07-05,West,Silver
95,Customer_95,customer95@example.com,46.0,15.62,2024-07-07,West,Bronze
96,Customer_96,customer96@example.com,43.0,142.61,2024-07-09,South,Silver
97,Customer_97,customer97@example.com,45.0,109.32,2024-07-11,West,Silver
98,Customer_98,customer98@example.com,49.0,15.35,2024-07-13,West,Silver
99,Customer_99,customer99@example.com,65.0,217.27,2024-07-15,South,Gold
100,Customer_100,customer100@example.com,55.0,110.96,2024-07-17,West,Silver
101,Customer_101,customer101@example.com,57.0,103.43,2024-07-19,North,Silver
102,Customer_102,customer102@example.com,54.0,274.28,2024-07-21,East,Silver
103,Customer_103,customer103@example.com,58.0,91.94,2024-07-23,North,Bronze
104,Customer_104,customer104@example.com,66.0,168.85,2024-07-25,North,Bronze
105,Customer_105,customer105@example.com,39.0,124.55,2024-07-27,North,Gold
106,Customer_106,,65.0,78.43,2024-07-29,East,Gold
107,Customer_107,customer107@example.com,35.0,47.69,2024-07-31,South,Bronze
108,Customer_108,customer108@example.com,55.0,61.04,2024-08-02,East,Gold
109,Customer_109,customer109@example.com,73.0,109.77,2024-08-04,North,Bronze
110,Customer_110,,60.0,250.83,2024-08-06,South,Silver
111,Customer_111,customer111@example.com,58.0,8.63,2024-08-08,South,Silver
112,Customer_112,,71.0,35.06,2024-08-10,East,Gold
113,Customer_113,customer113@example.com,49.0,186.37,2024-08-12,South,Bronze
114,Customer_114,customer114@example.com,58.0,168.37,2024-08-14,East,Bronze
115,Customer_115,customer115@example.com,60.0,57.46,2024-08-16,West,Gold
116,Customer_116,customer116@example.com,51.0,113.45,2024-08-18,East,Bronze
117,Customer_117,,52.0,267.71,2024-08-20,North,Silver
118,Customer_118,customer118@example.com,51.0,97.96,2024-08-22,North,Gold
119,Customer_119,customer119@example.com,56.0,147.91,2024-08-24,West,Gold
120,Customer_120,customer120@example.com,59.0,123.69,2024-08-26,North,Bronze
121,Customer_121,customer121@example.com,56.0,325.87,2024-08-28,West,Gold
122,Customer_122,customer122@example.com,61.0,349.41,2024-08-30,South,Bronze
123,Customer_123,customer123@example.com,39.0,153.53,2024-09-01,West,Bronze
124,Customer_124,customer124@example.com,53.0,162.92,2024-09-03,East,Bronze
125,Customer_125,customer125@example.com,47.0,60.19,2024-09-05,West,Bronze
126,Customer_126,,57.0,133.52,2024-09-07,South,Bronze
127,Customer_127,customer127@example.com,57.0,197.61,2024-09-09,East,Gold
128,Customer_128,customer128@example.com,54.0,57.24,2024-09-11,South,Silver
129,Customer_129,customer129@example.com,59.0,136.46,2024-09-13,South,Silver
130,Customer_130,customer130@example.com,63.0,291.77,2024-09-15,East,Gold
131,Customer_131,customer131@example.com,55.0,85.3,2024-09-17,West,Gold
132,Customer_132,customer132@example.com,47.0,61.63,2024-09-19,West,Silver
133,Customer_133,customer133@example.com,42.0,106.16,2024-09-21,East,Silver
134,Customer_134,customer134@example.com,55.0,292.8,2024-09-23,South,Silver
135,Customer_135,,57.0,68.26,2024-09-25,South,Silver
136,Customer_136,customer136@example.com,47.0,43.84,2024-09-27,East,Silver
137,Customer_137,customer137@example.com,61.0,184.36,2024-09-29,North,Bronze
138,Customer_138,customer138@example.com,51.0,440.29,2024-10-01,North,Gold
139,Customer_139,customer139@example.com,42.0,18.34,2024-10-03,South,Bronze
140,Customer_140,customer140@example.com,,218.0,2024-10-05,North,Silver
141,Customer_141,customer141@example.com,64.0,100.48,2024-10-07,North,Silver
142,Customer_142,customer142@example.com,39.0,88.09,2024-10-09,North,Silver
143,Customer_143,,50.0,133.88,2024-10-11,North,Bronze
144,Customer_144,customer144@example.com,,78.9,2024-10-13,North,Bronze
145,Customer_145,customer145@example.com,68.0,240.53,2024-10-15,West,Silver
146,Customer_146,customer146@example.com,54.0,58.89,2024-10-17,South,Bronze
147,Customer_147,customer147@example.com,43.0,271.44,2024-10-19,South,Bronze
148,Customer_148,customer148@example.com,62.0,164.07,2024-10-21,East,Silver
149,Customer_149,customer149@example.com,45.0,74.32,2024-10-23,North,Bronze
150,Customer_150,customer150@example.com,53.0,166.68,2024-10-25,West,Gold
151,Customer_151,customer151@example.com,49.0,64.14,2024-10-27,East,Gold
152,Customer_152,customer152@example.com,51.0,82.41,2024-10-29,North,Gold
153,Customer_153,customer153@example.com,62.0,187.27,2024-10-31,South,Gold
154,Customer_154,,67.0,38.44,2024-11-02,West,Silver
155,Customer_155,customer155@example.com,45.0,50.54,2024-11-04,West,Silver
156,Customer_156,customer156@example.com,60.0,153.75,2024-11-06,South,Silver
157,Customer_157,,49.0,210.13,2024-11-08,East,Gold
158,Customer_158,customer158@example.com,49.0,138.45,2024-11-10,North,Gold
159,Customer_159,customer159@example.com,59.0,136.24,2024-11-12,West,Bronze
160,Customer_160,customer160@example.com,47.0,75.55,2024-11-14,North,Bronze
161,Customer_161,customer161@example.com,59.0,360.73,2024-11-16,West,Gold
162,Customer_162,customer162@example.com,61.0,173.51,2024-11-18,East,Gold
163,Customer_163,customer163@example.com,52.0,40.45,2024-11-20,East,Gold
164,Customer_164,customer164@example.com,,218.96,2024-11-22,South,Gold
165,Customer_165,customer165@example.com,45.0,194.98,2024-11-24,North,Bronze
166,Customer_166,customer166@example.com,66.0,96.7,2024-11-26,North,Gold
167,Customer_167,customer167@example.com,39.0,70.34,2024-11-28,North,Bronze
168,Customer_168,customer168@example.com,77.0,176.2,2024-11-30,North,Gold
169,Customer_169,customer169@example.com,52.0,50.67,2024-12-02,East,Gold
170,Customer_170,customer170@example.com,46.0,104.52,2024-12-04,South,Gold
171,Customer_171,customer171@example.com,53.0,75.84,2024-12-06,North,Bronze
172,Customer_172,customer172@example.com,47.0,75.83,2024-12-08,West,Bronze
173,Customer_173,customer173@example.com,58.0,107.29,2024-12-10,West,Silver
174,Customer_174,customer174@example.com,66.0,161.19,2024-12-12,West,Gold
175,Customer_175,customer175@example.com,47.0,147.54,2024-12-14,West,Silver
176,Customer_176,customer176@example.com,60.0,228.02,2024-12-16,North,Silver
177,Customer_177,,43.0,161.6,2024-12-18,South,Bronze
178,Customer_178,customer178@example.com,63.0,26.59,2024-12-20,East,Bronze
179,Customer_179,customer179@example.com,58.0,31.45,2024-12-22,East,Silver
180,Customer_180,customer180@example.com,64.0,103.32,2024-12-24,North,Gold
181,Customer_181,customer181@example.com,54.0,50.3,2024-12-26,West,Bronze
182,Customer_182,customer182@example.com,52.0,120.28,2024-12-28,North,Gold
183,Customer_183,customer183@example.com,62.0,97.9,2024-12-30,North,Gold
184,Customer_184,customer184@example.com,45.0,166.49,2025-01-01,South,Silver
185,Customer_185,customer185@example.com,41.0,68.97,2025-01-03,East,Silver
186,Customer_186,customer186@example.com,55.0,225.74,2025-01-05,East,Silver
187,Customer_187,customer187@example.com,52.0,179.34,2025-01-07,North,Silver
188,Customer_188,customer188@example.com,59.0,445.22,2025-01-09,West,Bronze
189,Customer_189,customer189@example.com,64.0,240.24,2025-01-11,North,Bronze
190,Customer_190,customer190@example.com,59.0,29.79,2025-01-13,North,Silver
191,Customer_191,customer191@example.com,63.0,101.29,2025-01-15,West,Bronze
192,Customer_192,customer192@example.com,58.0,22.07,2025-01-17,West,Silver
193,Customer_193,customer193@example.com,59.0,183.45,2025-01-19,West,Gold
194,Customer_194,customer194@example.com,54.0,211.96,2025-01-21,West,Gold
195,Customer_195,customer195@example.com,59.0,57.35,2025-01-23,East,Gold
196,Customer_196,customer196@example.com,56.0,37.81,2025-01-25,East,Silver
197,Customer_197,customer197@example.com,58.0,287.37,2025-01-27,North,Gold
198,Customer_198,customer198@example.com,54.0,136.44,2025-01-29,South,Bronze
199,Customer_199,customer199@example.com,,227.02,2025-01-31,South,Gold
200,Customer_200,,49.0,69.75,2025-02-02,North,Gold
